,description
23,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 114000, 'max_yearly_salary': 140000, 'required_degree': 'Advanced degrees preferred', 'remote_work': True, 'required_skills': ['SQL', 'Python', 'problem-solving', 'analytical skills', 'communication', 'interpersonal skills', 'relationship building']}"
24,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'SQL', 'database management', 'data warehousing', 'ETL processes', 'statistical methods', 'Power BI', 'MS Excel', 'analytical skills', 'problem-solving', 'communication skills']}"
25,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 70000, 'max_yearly_salary': 80000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytical skills', 'SQL', 'Excel', 'programming', 'business acumen', 'problem solving', 'attention to detail']}"
26,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'Microsoft Excel', 'statistical concepts', 'communication skills']}"
27,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data analytics', 'SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'cloud platforms', 'machine learning', 'statistical modeling', 'communication']}"
28,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 70000, 'max_yearly_salary': 80000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'business visualization', 'SQL', 'Python', 'communication']}"
29,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['MicroStrategy', 'SQL', 'Excel', 'PowerPoint', 'SDLC']}"
30,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 104000, 'max_yearly_salary': 146000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'reporting', 'analytics', 'Excel', 'SQL', 'Tableau', 'communication', 'collaboration', 'presentation']}"
31,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'Spark', 'data visualization', 'communication', 'telemetry', 'Github', 'Airflow']}"
32,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['SQL', 'Data Visualization', 'Excel', 'PowerPoint', 'Communication', 'Critical Thinking', 'SDLC']}"
33,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 95000, 'max_yearly_salary': 105000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Data Analysis', 'Tableau', 'Python', 'SQL', 'Cloud']}"
34,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 85500, 'max_yearly_salary': 138000, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'BI reporting', 'Python', 'R', 'project management']}"
35,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['PowerBI', 'reporting', 'analytics', 'SQL', 'data pipelines', 'Power Automate', 'data visualizations', 'customer service', 'Microsoft Office']}"
36,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['Power BI', 'DAX', 'SQL', 'data analysis', 'ETL/ELT', 'Python', 'Airflow', 'Azure', 'data modeling', 'data warehousing', 'communication', 'collaboration', 'SAS', 'data extraction', 'data cleansing', 'machine learning', 'data visualization', 'Tableau']}"
37,"{'min_years_of_experience': 5, 'min_hourly_salary': 45, 'max_hourly_salary': 55, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'reporting', 'relational databases', 'analytical skills', 'organizational skills']}"
38,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 96000, 'max_yearly_salary': 140000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'CRM management', 'data cleaning', 'KPI tracking']}"
39,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data visualization', 'data analysis', 'SQL', 'Excel', 'Tableau', 'R', 'SAS', 'Python', 'Power BI', 'databases']}"
40,"{'min_years_of_experience': 0, 'min_hourly_salary': 32, 'max_hourly_salary': 51, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytical skills', 'database skills', 'product analysis', 'A/B testing', 'data visualization', 'digital customer journey', 'data extraction', 'data manipulation']}"
41,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 87400, 'max_yearly_salary': 129340, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Python', 'R', 'telemetry', 'data visualization', 'project management']}"
42,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 75000, 'max_yearly_salary': None, 'required_degree': 'Technical/quantitative major', 'remote_work': False, 'required_skills': ['problem-solving', 'data', 'programming', 'python', 'R', 'SQL', 'Business Intelligence', 'Excel']}"
43,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data integrity', 'interpersonal skills', 'business intelligence tools', 'sql', 'problem-solving', 'data privacy regulations', 'statistical software', 'machine learning', 'data visualization', 'data cleaning and preparation', 'critical thinking', 'management', 'communication skills', 'database management', 'analytical skills', 'statistical analysis']}"
44,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 77000, 'max_yearly_salary': 96250, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Python', 'data analysis', 'data visualization', 'ETL', 'data warehousing', 'problem solving', 'communication']}"
45,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data management', 'data analysis', 'Excel', 'SQL', 'data visualization', 'statistical software', 'database knowledge', 'project management']}"
46,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['quantitative research', 'data analytics', 'statistical software', 'Microsoft Excel', 'data visualization', 'communication', 'project management', 'detail-oriented', 'flexibility', 'positive attitude']}"
47,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['teamwork', 'communication', 'SDLC', 'ITIL', 'QA/testing', 'Project Management', 'Six Sigma', 'Microsoft SharePoint', 'process certification']}"
48,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Tableau', 'Power BI', 'Excel', 'Google Sheets', 'statistical analysis', 'data visualization', 'data accuracy']}"
49,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': []}"
50,"{'min_years_of_experience': 3, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 114000, 'max_yearly_salary': 200000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Tableau', 'Excel', 'Python', 'R', 'communication', 'collaboration']}"
51,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 157000, 'max_yearly_salary': 217500, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['credit analytics', 'valuation', 'quantitative modeling', 'Python', 'R', 'SQL', 'data modeling', 'data pipelines', 'finance', 'product', 'data engineering', 'machine learning', 'storytelling', 'data visualization']}"
52,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Amazon Stack', 'Post greSQL', 'Python', 'S3', 'EDI data', 'investigative data']}"
53,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'data migration', 'SQL', 'communication', 'problem-solving', 'data quality', 'ETL']}"
54,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'data modeling', 'metadata management', 'SQL', 'data warehousing', 'data governance', 'predictive modeling', 'data manipulation', 'DevOps', 'project management']}"
55,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data Analysis', 'Power BI', 'Power Automate', 'MS Forms', 'SQL', 'Communication', 'Problem Solving']}"
56,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data profiling', 'data engineering', 'business intelligence', 'SQL', 'data warehouses', 'communication', 'data dependencies', 'stakeholder alignment', 'scripting', 'AWS']}"
57,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'relational databases', 'Power BI', 'Microsoft Word', 'PowerPoint', 'Excel', 'communication', 'attention to detail', 'problem-solving']}"
58,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': 140000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'reporting', 'data management', 'business insights', 'BI tools', 'SQL', 'Excel', 'Python', 'data visualization', 'communication', 'ETL']}"
59,"{'min_years_of_experience': 2, 'min_hourly_salary': 35, 'max_hourly_salary': 40, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'matplotlib', 'analytical skills', 'communication skills', 'problem-solving']}"
60,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 32, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['model quality evaluation', 'data creation', 'data integrity', 'results analysis', 'analytical skills', 'statistical analysis', 'French Canadian proficiency']}"
61,"{'min_years_of_experience': 3, 'min_hourly_salary': 0, 'max_hourly_salary': 0, 'min_yearly_salary': 140000, 'max_yearly_salary': 160000, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data analysis', 'SQL', 'Python', 'R', 'data visualization', 'data warehousing', 'communication', 'problem-solving']}"
62,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 70000, 'max_yearly_salary': 85000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Excel', 'SQL', 'Power BI', 'Python', 'R', 'Microsoft Office']}"
63,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 200000, 'max_yearly_salary': 250000, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analytics', 'operations', 'statistics', 'data processing', 'Python', 'SQL', 'Excel']}"
64,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Enterprise Third Party Risk Management', 'Data Analysis', 'Data Aggregation', 'Microsoft Excel', 'Tableau', 'PowerPoint', 'SharePoint', 'Word', 'Adobe', 'PowerPoint presentations', 'Initiative', 'Data discrepancies', 'Communication skills', 'Team collaboration', 'Project prioritization']}"
65,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 75000, 'max_yearly_salary': 100000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['SQL', 'Google Sheets', 'data visualization', 'dashboards', 'data analysis', 'Python', 'data pipelines']}"
66,"{'min_years_of_experience': None, 'min_hourly_salary': 20, 'max_hourly_salary': 25, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['communication', 'analytical', 'client service', 'detail oriented', 'integrity', 'organizational', 'Power BI', 'Excel']}"
67,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 70000, 'max_yearly_salary': 80000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'Power BI', 'problem-solving', 'communication', 'data modeling', 'DAX', 'ETL']}"
68,"{'min_years_of_experience': None, 'min_hourly_salary': 26, 'max_hourly_salary': 26, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'SQL', 'data visualization', 'Microsoft Office', 'problem-solving', 'communication']}"
69,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SAS programming', 'SQL', 'data visualization', 'statistical analysis', 'problem-solving', 'analytical thinking', 'communication']}"
70,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['analytical mindset', 'Google Sheets', 'Excel', 'data visualization', 'dashboarding', 'Tableau', 'SQL', 'Salesforce', 'communication']}"
71,"{'min_years_of_experience': None, 'min_hourly_salary': 20, 'max_hourly_salary': 20, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'Data Visualization', 'Statistical Analysis', 'Python Programming', 'ETL']}"
72,"{'min_years_of_experience': None, 'min_hourly_salary': 40, 'max_hourly_salary': 40, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'matplotlib', 'analytical skills', 'problem-solving', 'communication']}"
73,"{'min_years_of_experience': None, 'min_hourly_salary': 21, 'max_hourly_salary': 25, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'data science', 'Python', 'SQL', 'data analysis', 'Microsoft Office']}"
74,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 95000, 'max_yearly_salary': 135000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'Tableau', 'Python', 'SQL']}"
75,"{'min_years_of_experience': 4, 'min_hourly_salary': 50, 'max_hourly_salary': 70, 'min_yearly_salary': 104000, 'max_yearly_salary': 146000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Tableau', 'Excel', 'data analysis', 'data visualization', 'cross-functional collaboration', 'quantitative analysis', 'reporting']}"
76,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Excel', 'quality control', 'data entry', 'independent work', 'time management']}"
77,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 60000, 'max_yearly_salary': 80000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'reporting', 'Power BI', 'SQL', 'statistics', 'communication', 'problem-solving', 'programming', 'data mining']}"
78,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'reporting', 'data visualization', 'SQL', 'data mining', 'automating processes', 'ETL']}"
79,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'data reporting', 'collaboration', 'quality assurance', 'analytical skills', 'communication skills', 'team collaboration']}"
80,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'forecasting', 'Excel', 'data visualization', 'SQL', 'communication', 'organization']}"
81,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 104000, 'max_yearly_salary': 146000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Tableau', 'Excel', 'communication', 'organizational skills']}"
82,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 67725, 'max_yearly_salary': 116835, 'required_degree': ""Associate's Degree"", 'remote_work': False, 'required_skills': ['SQL', 'Databricks', 'Python', 'Claims knowledge']}"
83,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 104000, 'max_yearly_salary': 146000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'Tableau', 'SQL', 'Excel', 'business intelligence', 'communication']}"
84,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['SQL', 'Python', 'R', 'A/B testing', 'data analysis', 'financial services', 'business intelligence']}"
85,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': 150000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'Microsoft Office', 'communication', 'data governance', 'reporting', 'analytics', 'DHS experience', 'client liaison', 'emerging technology']}"
86,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Tableau', 'SQL', 'data visualization', 'report automation', 'business process optimization', 'data security', 'problem solving', 'communication']}"
87,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data manipulation', 'data visualization', 'geospatial intelligence', 'problem solving', 'data fluency', 'data transformation', 'data wrangling', 'SQL', 'NoSQL', 'R', 'Python', 'Java', 'JavaScript', 'data science methods', 'Git', 'AWS Sagemaker', 'SAS']}"
