,applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills
10,Over 200 applicants,EXTERNAL,https://jobs.lever.co/windfalldata/8d71be22-ff53-4495-b46f-cc26705de624,"Medical insurance
Child care support
Paid paternity leave
Commuter benefits
Paid maternity leave
Vision insurance
Dental insurance
401(k)",10874927.0,Windfall,https://www.linkedin.com/company/windfall-data?trk=public_jobs_topcard-org-name,Full-time,Associate,4078673761,https://www.linkedin.com/jobs/view/data-analyst-at-windfall-4078673761?trk=public_jobs_topcard-title,"San Francisco, CA",5 days ago,,,2024-12-11,"$90,000.00/yr - $120,000.00/yr",Software Development,Data Analyst,Analyst and Information Technology,2.0,43.0,58.0,90000.0,120000.0,BS,,"['SQL', 'Python', 'teamwork', 'data analysis', 'dashboards']"
11,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/entry-level-analyst-data-analytics-at-concord-4097005394?trk=public_jobs_topcard-title,,51301.0,Concord,https://www.linkedin.com/company/concord?trk=public_jobs_topcard-org-name,Full-time,Entry level,4097005394,https://www.linkedin.com/jobs/view/entry-level-analyst-data-analytics-at-concord-4097005394?trk=public_jobs_topcard-title,Kansas City Metropolitan Area,10 hours ago,,,2024-12-17,,Business Consulting and Services,Entry Level Analyst - Data & Analytics,Information Technology,,,,,,BS,False,"['Data Visualization', 'Python', 'R', 'SQL', 'JavaScript', 'Google Analytics', 'Adobe Analytics', 'A/B Testing']"
12,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)",2751.0,Expedia Group,https://www.linkedin.com/company/expedia?trk=public_jobs_topcard-org-name,Contract,Associate,4096170137,https://www.linkedin.com/jobs/view/data-analyst-us-contract-at-expedia-group-4096170137?trk=public_jobs_topcard-title,United States,6 days ago,,,2024-12-10,$83.00/hr - $93.00/hr,Travel Arrangements and Software Development,Data Analyst (US - Contract),Analyst and Information Technology,4.0,83.0,93.0,,,BS/MS,True,"['SQL', 'Tableau', 'Power BI', 'data extraction', 'analytical skills', 'time management', 'project management', 'communication']"
13,Over 200 applicants,EXTERNAL,https://ea.avature.net/en_US/careers/JobDetail/201830?recommendation=&source=LinkedIn+Jobs&tags=,,1449.0,Electronic Arts (EA),https://www.linkedin.com/company/electronic-arts?trk=public_jobs_topcard-org-name,Internship,Internship,4079624408,https://www.linkedin.com/jobs/view/data-analyst-intern-summer-2025-3-months-at-electronic-arts-ea-4079624408?trk=public_jobs_topcard-title,"Austin, TX",3 days ago,,,2024-12-13,,Entertainment Providers,Data Analyst Intern - SUMMER 2025 (3-months),Information Technology,,,,,,BS,False,"['data analysis', 'SQL', 'Python', 'R', 'statistical analysis', 'data visualisation', 'security concepts', 'communication']"
14,Over 200 applicants,EXTERNAL,https://job-boards.greenhouse.io/css/jobs/7666414002?gh_src=0dbc6b012us,,18106262.0,CloudKitchens,https://www.linkedin.com/company/cloudkitchens?trk=public_jobs_topcard-org-name,Full-time,Entry level,4046408605,https://www.linkedin.com/jobs/view/people-data-analyst-at-cloudkitchens-4046408605?trk=public_jobs_topcard-title,Los Angeles Metropolitan Area,1 day ago,Jonathan Chaves,https://www.linkedin.com/in/chavesj,2024-12-15,,Real Estate,People Data Analyst,Information Technology,1.0,,,,,BS,False,"['data analysis', 'data visualization', 'statistical coding', 'machine learning', 'ETL processes', 'communication', 'organizational behavior']"
15,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-thirdlove-4099359251?trk=public_jobs_topcard-title,,6452967.0,ThirdLove,https://www.linkedin.com/company/thirdlove?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4099359251,https://www.linkedin.com/jobs/view/data-analyst-at-thirdlove-4099359251?trk=public_jobs_topcard-title,"San Francisco, CA",3 days ago,,,2024-12-13,"$90,000.00/yr - $140,000.00/yr",Retail Apparel and Fashion,Data Analyst,Information Technology,2.0,,,90000.0,140000.0,BS,False,"['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'A/B testing']"
16,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-lumata-health-4095622294?trk=public_jobs_topcard-title,,27155101.0,Lumata Health,https://www.linkedin.com/company/lumatahealth?trk=public_jobs_topcard-org-name,Full-time,Entry level,4095622294,https://www.linkedin.com/jobs/view/data-analyst-at-lumata-health-4095622294?trk=public_jobs_topcard-title,United States,4 days ago,,,2024-12-13,,Non-profit Organizations and Primary and Secondary Education,Data Analyst,Information Technology,2.0,35.0,40.0,70000.0,80000.0,BS,True,"['data analysis', 'healthcare coding', 'data visualization', 'communication', 'collaboration']"
17,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/junior-data-analyst-at-insight-global-4098470598?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)",11056.0,Insight Global,https://www.linkedin.com/company/insight-global?trk=public_jobs_topcard-org-name,Contract,Entry level,4098470598,https://www.linkedin.com/jobs/view/junior-data-analyst-at-insight-global-4098470598?trk=public_jobs_topcard-title,"Richmond, VA",4 days ago,,,2024-12-12,$30.00/hr - $34.00/hr,Financial Services,Junior Data Analyst,Analyst,,,,,,,False,"['communications skills', 'team player', 'pressure management', 'relationship building', 'strategic thinking', 'self-motivation', 'leadership', 'analytical skills', 'problem solving', 'data quality', 'operations experience', 'multi-tasking', 'data analysis']"
18,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-4099916904?trk=public_jobs_topcard-title,,3076.0,Kforce Inc,https://www.linkedin.com/company/kforce?trk=public_jobs_topcard-org-name,Contract,Associate,4099916904,https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-4099916904?trk=public_jobs_topcard-title,"Boston, MA",3 days ago,,,2024-12-13,,"Financial Services, Investment Banking, and Investment Management",Data Analyst,Information Technology,1.0,,,,,BS,False,"['data analysis', 'system development', 'business analysis', 'reporting tools', 'visualization tools', 'AI/ML knowledge', 'data querying', 'project management', 'analytical skills']"
19,Over 200 applicants,EXTERNAL,https://click.appcast.io/track/le727c5-org?cs=4c&jg=6uyq&bid=lUf2CslKyPxm6i440ZgUYA==,,2029.0,Nike,https://www.linkedin.com/company/nike?trk=public_jobs_topcard-org-name,Full-time,Entry level,4099922108,https://www.linkedin.com/jobs/view/analyst-ii-insights-analytics-procurement-at-nike-4099922108?trk=public_jobs_topcard-title,"Beaverton, OR",3 days ago,,,2024-12-13,,Retail,"Analyst II, Insights & Analytics, Procurement","Research, Analyst, and Information Technology",2.0,,,,,BS,False,"['ETL Tools', 'BI Tools', 'Database systems', 'Programming Languages']"
20,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-smart-it-frame-llc-4097609262?trk=public_jobs_topcard-title,,11692984.0,Smart IT Frame LLC,https://www.linkedin.com/company/smart-it-frame-llc?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4097609262,https://www.linkedin.com/jobs/view/data-analyst-at-smart-it-frame-llc-4097609262?trk=public_jobs_topcard-title,"San Jose, CA",3 days ago,Arun Kumar,https://in.linkedin.com/in/arun-kumar-62423b82,2024-12-13,,Software Development,Data Analyst,Information Technology,,,,,,,True,"['Data Governance', 'Policies & Standards', 'Communication Skills', 'Power BI', 'Data Visualization']"
21,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-elder-research-4081478463?trk=public_jobs_topcard-title,,101021.0,Elder Research,https://www.linkedin.com/company/elder-research-inc?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4081478463,https://www.linkedin.com/jobs/view/data-analyst-at-elder-research-4081478463?trk=public_jobs_topcard-title,"Arlington, VA",4 days ago,"Conleith Beatty, CDR",https://www.linkedin.com/in/conleithbeatty,2024-12-12,,IT Services and IT Consulting,Data Analyst,Strategy/Planning and Information Technology,,,,,,,True,"['Data Collection', 'Data Cleaning', 'Database Management', 'Exploratory Data Analysis', 'Data Visualization', 'Communication', 'Stakeholder Collaboration', 'Statistical Analysis', 'Predictive Analysis', 'Domain Expertise']"
22,Over 200 applicants,EXTERNAL,http://app.jobvite.com/CompanyJobs/Careers.aspx?c=qk69Vfwe&__jvst=Job+Board&__jvsd=LinkedIn&j=ospKufwP&k=Apply,,14091.0,Mars United Commerce,https://www.linkedin.com/company/marsunitedcommerce?trk=public_jobs_topcard-org-name,Full-time,Entry level,4061378619,https://www.linkedin.com/jobs/view/data-analyst-at-mars-united-commerce-4061378619?trk=public_jobs_topcard-title,"Dallas, TX",5 days ago,,,2024-12-11,,Advertising Services and Consumer Services,Data Analyst,Advertising and Marketing,1.0,,,,,BS,False,"['SQL', 'Tableau', 'Power BI', 'Excel', 'Google Sheets', 'statistical analysis', 'data visualization', 'analytical thinking', 'communication', 'attention to detail', 'collaboration']"
23,Over 200 applicants,EXTERNAL,http://boards.greenhouse.io/lyft/jobs/7478261002?gh_src=dd08aaff2us&source=LinkedIn,,2620735.0,Lyft,https://www.linkedin.com/company/lyft?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,3941689341,https://www.linkedin.com/jobs/view/data-analyst-product-insights-scc-at-lyft-3941689341?trk=public_jobs_topcard-title,"San Francisco County, CA",18 hours ago,,,2024-12-17,"$114,000.00/yr - $140,000.00/yr",Ground Passenger Transportation,"Data Analyst, Product Insights, SCC",Information Technology,5.0,,,114000.0,140000.0,Advanced degrees preferred,True,"['SQL', 'Python', 'problem-solving', 'analytical skills', 'communication', 'interpersonal skills', 'relationship building']"
24,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-quality-analyst-at-oasis-financial-4078351522?trk=public_jobs_topcard-title,,130219.0,Oasis Financial,https://www.linkedin.com/company/oasis-legal-finance?trk=public_jobs_topcard-org-name,Full-time,Entry level,4078351522,https://www.linkedin.com/jobs/view/data-quality-analyst-at-oasis-financial-4078351522?trk=public_jobs_topcard-title,United States,5 days ago,,,2024-12-11,,Financial Services,Data Quality Analyst,Information Technology,5.0,,,,,BS,True,"['data analysis', 'SQL', 'database management', 'data warehousing', 'ETL processes', 'statistical methods', 'Power BI', 'MS Excel', 'analytical skills', 'problem-solving', 'communication skills']"
25,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-revolve-4098481959?trk=public_jobs_topcard-title,,1647525.0,REVOLVE,https://www.linkedin.com/company/revolve-?trk=public_jobs_topcard-org-name,Full-time,Associate,4098481959,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-revolve-4098481959?trk=public_jobs_topcard-title,"Cerritos, CA",4 days ago,,,2024-12-12,"$70,000.00/yr - $80,000.00/yr",Retail Apparel and Fashion,Business Intelligence Analyst,Analyst,1.0,,,70000.0,80000.0,BS,False,"['analytical skills', 'SQL', 'Excel', 'programming', 'business acumen', 'problem solving', 'attention to detail']"
26,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-atc-4102118913?trk=public_jobs_topcard-title,,2736308.0,ATC,https://www.linkedin.com/company/american-technology-consulting?trk=public_jobs_topcard-org-name,Full-time,Entry level,4102118913,https://www.linkedin.com/jobs/view/data-analyst-at-atc-4102118913?trk=public_jobs_topcard-title,"California, United States",5 hours ago,,,2024-12-17,,"Information Technology & Services, IT Services and IT Consulting, and Business Consulting and Services",Data Analyst,"Analyst, Information Technology, and Consulting",,,,,,MS,False,"['data analysis', 'data visualization', 'Microsoft Excel', 'statistical concepts', 'communication skills']"
27,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-conglomerateit-4096546565?trk=public_jobs_topcard-title,,30241870.0,ConglomerateIT,https://www.linkedin.com/company/conglomerateitsolutions?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4096546565,https://www.linkedin.com/jobs/view/data-analyst-at-conglomerateit-4096546565?trk=public_jobs_topcard-title,United States,6 days ago,Irfan (Isaac) Ashfaq,https://www.linkedin.com/in/irfan-isaac-ashfaq-621957224,2024-12-10,,IT Services and IT Consulting,Data Analyst,Information Technology,8.0,,,,,,True,"['data analytics', 'SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'cloud platforms', 'machine learning', 'statistical modeling', 'communication']"
28,88 applicants,EXTERNAL,https://grnh.se/3aa74d507us,,55830.0,Kargo,https://www.linkedin.com/company/kargo?trk=public_jobs_topcard-org-name,Full-time,Entry level,4101291727,https://www.linkedin.com/jobs/view/analytics-analyst-at-kargo-4101291727?trk=public_jobs_topcard-title,"New York, NY",3 hours ago,,,2024-12-17,,"Technology, Information and Internet",Analytics Analyst,Business Development and Sales,1.0,,,70000.0,80000.0,BS,False,"['data analytics', 'business visualization', 'SQL', 'Python', 'communication']"
29,187 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4098208689?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)
Pension plan
Child care support
Paid maternity leave
Paid paternity leave
Student loan assistance
Disability insurance",23997.0,IntePros,https://www.linkedin.com/company/intepros?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4098208689,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4098208689?trk=public_jobs_topcard-title,"Charlotte, NC",5 days ago,Elizabeth Smith,https://www.linkedin.com/in/elizabeth-smith-362b07114,2024-12-11,$50.00/hr - $55.00/hr,"Telecommunications, Entertainment Providers, and Information Services",Data Analyst,"Analyst, Consulting, and Other",,,,,,,False,"['MicroStrategy', 'SQL', 'Excel', 'PowerPoint', 'SDLC']"
30,Over 200 applicants,EXTERNAL,https://jsv3.recruitics.com/redirect?rx_cid=3239&rx_jobId=a1KDp00000E2JUlMAN_1002&rx_url=https%3A%2F%2Fwww.metacareers.com%2Fjobs%2F1930394864121029%2F%3Frx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D126320%26rx_job%3Da1KDp00000E2JUlMAN_1002%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20241217T001201Z%26rx_vp%3Dslots%26utm_campaign%3DJob%252Bboard%26utm_medium%3Djobs%26utm_source%3DLIpaid,,10667.0,Meta,https://www.linkedin.com/company/meta?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4082225881,https://www.linkedin.com/jobs/view/data-analyst-people-data-solutions-at-meta-4082225881?trk=public_jobs_topcard-title,"New York, NY",1 day ago,,,2024-12-15,"$104,000.00/yr - $146,000.00/yr","Technology, Information and Internet","Data Analyst, People Data Solutions",Information Technology,4.0,,,104000.0,146000.0,BS,False,"['data analysis', 'reporting', 'analytics', 'Excel', 'SQL', 'Tableau', 'communication', 'collaboration', 'presentation']"
31,Over 200 applicants,EXTERNAL,https://app.greenhouse.io/embed/job_app?token=5390635004&gh_src=32b5d0474us,,19327.0,Epic Games,https://www.linkedin.com/company/epic-games?trk=public_jobs_topcard-org-name,Full-time,Entry level,4096153873,https://www.linkedin.com/jobs/view/data-analyst-product-analytics-at-epic-games-4096153873?trk=public_jobs_topcard-title,"Cary, NC",6 days ago,,,2024-12-10,,"Computer Games, Software Development, and Entertainment Providers",Data Analyst - Product analytics,Information Technology,3.0,,,,,,False,"['SQL', 'Spark', 'data visualization', 'communication', 'telemetry', 'Github', 'Airflow']"
32,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4096901305?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)
Pension plan
Child care support
Paid maternity leave
Paid paternity leave
Student loan assistance
Disability insurance",23997.0,IntePros,https://www.linkedin.com/company/intepros?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4096901305,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-4096901305?trk=public_jobs_topcard-title,"Charlotte, NC",6 days ago,,,2024-12-10,$48.00/hr - $50.00/hr,Telecommunications and IT Services and IT Consulting,Data Analyst,Information Technology and Analyst,5.0,,,,,,True,"['SQL', 'Data Visualization', 'Excel', 'PowerPoint', 'Communication', 'Critical Thinking', 'SDLC']"
33,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-direct-hire-fte-at-akkodis-4095595959?trk=public_jobs_topcard-title,,79383535.0,Akkodis,https://www.linkedin.com/company/akkodis?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4095595959,https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-direct-hire-fte-at-akkodis-4095595959?trk=public_jobs_topcard-title,United States,4 days ago,Narendra Pratap Nishad,https://www.linkedin.com/in/narendra-pratap-nishad-758455152,2024-12-12,"$95,000.00/yr - $105,000.00/yr",IT Services and IT Consulting,Data Analyst - 100% Remote - Direct Hire (FTE),Health Care Provider,,,,95000.0,105000.0,BS,True,"['Data Analysis', 'Tableau', 'Python', 'SQL', 'Cloud']"
34,Over 200 applicants,EXTERNAL,http://www.squarespace.com/about/careers?gh_jid=6465069&gh_src=afe793d31,,265314.0,Squarespace,https://www.linkedin.com/company/squarespace?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4097008893,https://www.linkedin.com/jobs/view/data-analyst-customer-operations-at-squarespace-4097008893?trk=public_jobs_topcard-title,"New York, NY",5 days ago,,,2024-12-11,"$85,500.00/yr - $138,000.00/yr","Software Development and Technology, Information and Internet","Data Analyst, Customer Operations",Customer Service,2.0,,,85500.0,138000.0,,False,"['SQL', 'BI reporting', 'Python', 'R', 'project management']"
35,Over 200 applicants,EXTERNAL,https://nordic.wd1.myworkdayjobs.com/Nordic/job/US\u002d\u002d-National/Analyst\u002d\u002dData-Analytics_R3990?source=LinkedIn,,819886.0,Nordic Global,https://www.linkedin.com/company/nordicglobal?trk=public_jobs_topcard-org-name,Full-time,Entry level,4094029171,https://www.linkedin.com/jobs/view/analyst-data-analytics-at-nordic-global-4094029171?trk=public_jobs_topcard-title,United States,6 days ago,,,2024-12-11,,IT Services and IT Consulting,"Analyst, Data Analytics",Business Development and Sales,1.0,,,,,,False,"['PowerBI', 'reporting', 'analytics', 'SQL', 'data pipelines', 'Power Automate', 'data visualizations', 'customer service', 'Microsoft Office']"
36,Over 200 applicants,EXTERNAL,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?jobId=515949&ccId=19000101_000001&source=LI&type=JS&lang=en_US&cid=79917a52-c723-4fe2-87fe-ed8bdc2f309b,,455932.0,Netwrix Corporation,https://www.linkedin.com/company/netwrix-corporation?trk=public_jobs_topcard-org-name,Full-time,Entry level,4058436711,https://www.linkedin.com/jobs/view/data-analyst-at-netwrix-corporation-4058436711?trk=public_jobs_topcard-title,United States,3 days ago,,,2024-12-13,"$50,000.00/yr - $120,000.00/yr",Software Development,Data Analyst,Information Technology,8.0,,,,,MS,False,"['Power BI', 'DAX', 'SQL', 'data analysis', 'ETL/ELT', 'Python', 'Airflow', 'Azure', 'data modeling', 'data warehousing', 'communication', 'collaboration', 'SAS', 'data extraction', 'data cleansing', 'machine learning', 'data visualization', 'Tableau']"
37,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-at-eliassen-group-4097940964?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)",13816.0,Eliassen Group,https://www.linkedin.com/company/eliassen-group?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4097940964,https://www.linkedin.com/jobs/view/data-analyst-at-eliassen-group-4097940964?trk=public_jobs_topcard-title,Charlotte Metro,4 days ago,Harrison Page,https://www.linkedin.com/in/harrisonlpage,2024-12-12,,Business Consulting and Services,Data Analyst,Information Technology,5.0,45.0,55.0,,,,False,"['data analysis', 'SQL', 'reporting', 'relational databases', 'analytical skills', 'organizational skills']"
